"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;ID;Nombre del Conocimiento;
0;01100;Oficiales de las Fuerzas Militares;66;Educación militar y de defensa;
0;01100;Oficiales de las Fuerzas Militares;22;Educación y capacitación;
0;01100;Oficiales de las Fuerzas Militares;1;Gerencia y administración;
0;01100;Oficiales de las Fuerzas Militares;28;Leyes y gobierno;
0;01100;Oficiales de las Fuerzas Militares;27;Seguridad pública;
0;01100;Oficiales de las Fuerzas Militares;50;Servicio a la persona y humanización;
0;02100;Suboficiales de las Fuerzas Militares;66;Educación militar y de defensa;
0;02100;Suboficiales de las Fuerzas Militares;22;Educación y capacitación;
0;02100;Suboficiales de las Fuerzas Militares;28;Leyes y gobierno;
0;02100;Suboficiales de las Fuerzas Militares;27;Seguridad pública;
0;02100;Suboficiales de las Fuerzas Militares;50;Servicio a la persona y humanización;
0;03100;Otros miembros de las Fuerzas Militares;66;Educación militar y de defensa;
0;03100;Otros miembros de las Fuerzas Militares;28;Leyes y gobierno;
0;03100;Otros miembros de las Fuerzas Militares;27;Seguridad pública;
0;03100;Otros miembros de las Fuerzas Militares;5;Servicio al cliente;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;60;Ciencias políticas y educación cívica;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;1;Gerencia y administración;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;6;Gestión del talento humano y de personal;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;28;Leyes y gobierno;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;5;Servicio al cliente;
1;11120;Directores del gobierno / Directoras del gobierno;60;Ciencias políticas y educación cívica;
1;11120;Directores del gobierno / Directoras del gobierno;1;Gerencia y administración;
1;11120;Directores del gobierno / Directoras del gobierno;6;Gestión del talento humano y de personal;
1;11120;Directores del gobierno / Directoras del gobierno;28;Leyes y gobierno;
1;11120;Directores del gobierno / Directoras del gobierno;14;Matemáticas;
1;11120;Directores del gobierno / Directoras del gobierno;5;Servicio al cliente;
1;11120;Directores del gobierno / Directoras del gobierno;2;Servicios de oficina y administrativos;
1;11130;Jefes de comunidades étnicas / Jefas de comunidades étnicas;1;Gerencia y administración;
1;11130;Jefes de comunidades étnicas / Jefas de comunidades étnicas;6;Gestión del talento humano y de personal;
1;11130;Jefes de comunidades étnicas / Jefas de comunidades étnicas;28;Leyes y gobierno;
1;11130;Jefes de comunidades étnicas / Jefas de comunidades étnicas;76;Literatura y lingüística;
1;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);1;Gerencia y administración;
1;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);6;Gestión del talento humano y de personal;
1;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);28;Leyes y gobierno;
1;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);4;Mercadotecnia y publicidad;
1;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);2;Servicios de oficina y administrativos;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;1;Gerencia y administración;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;6;Gestión del talento humano y de personal;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;28;Leyes y gobierno;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;4;Mercadotecnia y publicidad;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;5;Servicio al cliente;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;2;Servicios de oficina y administrativos;
1;12111;Directores y gerentes financieros / Directoras y gerentas financieras;32;Contabilidad e impuestos;
1;12111;Directores y gerentes financieros / Directoras y gerentas financieras;3;Economía;
1;12111;Directores y gerentes financieros / Directoras y gerentas financieras;1;Gerencia y administración;
1;12111;Directores y gerentes financieros / Directoras y gerentas financieras;6;Gestión del talento humano y de personal;
1;12111;Directores y gerentes financieros / Directoras y gerentas financieras;33;Gestión financiera, administración bancaria y seguros;
1;12111;Directores y gerentes financieros / Directoras y gerentas financieras;28;Leyes y gobierno;
1;12111;Directores y gerentes financieros / Directoras y gerentas financieras;14;Matemáticas;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;32;Contabilidad e impuestos;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;3;Economía;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;1;Gerencia y administración;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;6;Gestión del talento humano y de personal;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;33;Gestión financiera, administración bancaria y seguros;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;28;Leyes y gobierno;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;5;Servicio al cliente;
1;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;32;Contabilidad e impuestos;
1;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;3;Economía;
1;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;1;Gerencia y administración;
1;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;6;Gestión del talento humano y de personal;
1;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;33;Gestión financiera, administración bancaria y seguros;
1;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;28;Leyes y gobierno;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;1;Gerencia y administración;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;6;Gestión del talento humano y de personal;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;23;Idioma extranjero;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;28;Leyes y gobierno;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;85;Seguridad y salud en el trabajo;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;5;Servicio al cliente;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;2;Servicios de oficina y administrativos;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;32;Contabilidad e impuestos;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;1;Gerencia y administración;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;6;Gestión del talento humano y de personal;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;28;Leyes y gobierno;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;14;Matemáticas;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;5;Servicio al cliente;
1;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;2;Servicios de oficina y administrativos;
1;12191;Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento;1;Gerencia y administración;
1;12191;Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento;6;Gestión del talento humano y de personal;
1;12191;Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento;38;Mantenimiento;
1;12191;Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento;5;Servicio al cliente;
1;12191;Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento;2;Servicios de oficina y administrativos;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;17;Biología;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;9;Computadoras, electrónica y automatización;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;3;Economía;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;20;Geografía y territorio;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;1;Gerencia y administración;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;7;Producción y procesamiento;
