"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;Código de la Denominación;Nombre de la Denominación;
0;01100;Oficiales de las Fuerzas Militares;01100.001;Almirante;
0;01100;Oficiales de las Fuerzas Militares;01100.002;Almirante de la Armada Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.003;Brigadier General;
0;01100;Oficiales de las Fuerzas Militares;01100.004;Brigadier General de Infantería de Marina;
0;01100;Oficiales de las Fuerzas Militares;01100.005;Brigadier General del Ejército Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.006;Brigadier General Fuerza Aérea;
0;01100;Oficiales de las Fuerzas Militares;01100.007;Cadete de la Fuerza Aérea;
0;01100;Oficiales de las Fuerzas Militares;01100.008;Cadete de las Fuerzas Armadas;
0;01100;Oficiales de las Fuerzas Militares;01100.009;Cadete del Ejército Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.010;Capitán de corbeta de la Armada Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.011;Capitán de fragata de la Armada Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.012;Capitán de Infantería de Marina;
0;01100;Oficiales de las Fuerzas Militares;01100.013;Capitán de la Fuerza Aérea;
0;01100;Oficiales de las Fuerzas Militares;01100.014;Capitán de navío de la Armada Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.015;Capitán del Ejército Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.016;Comandante de la Armada;
0;01100;Oficiales de las Fuerzas Militares;01100.017;Comandante base Armada;
0;01100;Oficiales de las Fuerzas Militares;01100.018;Comandante batallón Ejército;
0;01100;Oficiales de las Fuerzas Militares;01100.019;Comandante brigada Armada;
0;01100;Oficiales de las Fuerzas Militares;01100.020;Comandante brigada Ejército;
0;01100;Oficiales de las Fuerzas Militares;01100.021;Comandante del Ejército;
0;01100;Oficiales de las Fuerzas Militares;01100.022;Comandante Fuerza Aérea;
0;01100;Oficiales de las Fuerzas Militares;01100.023;Comandante unidad Ejército;
0;01100;Oficiales de las Fuerzas Militares;01100.024;Comandante unidad Fuerza Aérea;
0;01100;Oficiales de las Fuerzas Militares;01100.025;Contralmirante;
0;01100;Oficiales de las Fuerzas Militares;01100.026;Contralmirante de la Armada Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.027;Coronel de Infantería de Marina;
0;01100;Oficiales de las Fuerzas Militares;01100.028;Coronel del Ejército Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.029;Coronel Fuerza Aérea;
0;01100;Oficiales de las Fuerzas Militares;01100.030;General de Infantería de Marina;
0;01100;Oficiales de las Fuerzas Militares;01100.031;General del Ejército Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.032;General Fuerza Aérea;
0;01100;Oficiales de las Fuerzas Militares;01100.033;GuardiaMarina;
0;01100;Oficiales de las Fuerzas Militares;01100.034;Mayor;
0;01100;Oficiales de las Fuerzas Militares;01100.035;Mayor de Infantería de Marina;
0;01100;Oficiales de las Fuerzas Militares;01100.036;Mayor de la Fuerza Aérea;
0;01100;Oficiales de las Fuerzas Militares;01100.037;Mayor del Ejército Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.038;Mayor General;
0;01100;Oficiales de las Fuerzas Militares;01100.039;Mayor General de Infantería de Marina;
0;01100;Oficiales de las Fuerzas Militares;01100.040;Mayor General del Ejército Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.041;Mayor General Fuerza Aérea;
0;01100;Oficiales de las Fuerzas Militares;01100.042;Oficial de la Armada Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.043;Oficial del Ejército Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.044;Oficial Fuerza Aérea;
0;01100;Oficiales de las Fuerzas Militares;01100.045;Oficial Fuerzas Militares;
0;01100;Oficiales de las Fuerzas Militares;01100.046;Segundo Comandante Ejército Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.047;Segundo Comandante Fuerza Aérea colombiana;
0;01100;Oficiales de las Fuerzas Militares;01100.048;Subcomandante Armada Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.049;Subteniente de Infantería de Marina;
0;01100;Oficiales de las Fuerzas Militares;01100.050;Subteniente del Ejército Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.051;Subteniente Fuerza Aérea;
0;01100;Oficiales de las Fuerzas Militares;01100.052;Teniente Coronel de Infantería de Marina;
0;01100;Oficiales de las Fuerzas Militares;01100.053;Teniente Coronel de la Fuerza Aérea;
0;01100;Oficiales de las Fuerzas Militares;01100.054;Teniente Coronel del Ejército Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.055;Teniente de corbeta de la Armada Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.056;Teniente de fragata de la Armada Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.057;Teniente de Infantería de Marina;
0;01100;Oficiales de las Fuerzas Militares;01100.058;Teniente de navío de la Armada Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.059;Teniente del Ejército Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.060;Teniente Fuerza Aérea;
0;01100;Oficiales de las Fuerzas Militares;01100.061;Vicealmirante;
0;01100;Oficiales de las Fuerzas Militares;01100.062;Vicealmirante de la Armada Nacional;
0;01100;Oficiales de las Fuerzas Militares;01100.063;Comandante General de las Fuerzas Militares;
0;01100;Oficiales de las Fuerzas Militares;01100.064;Jefe de estado mayor conjunto de las Fuerzas Militares;
0;02100;Suboficiales de las Fuerzas Militares;02100.001;Aerotécnico de la Fuerza Aérea;
0;02100;Suboficiales de las Fuerzas Militares;02100.002;Cabo primero de Infantería de Marina;
0;02100;Suboficiales de las Fuerzas Militares;02100.003;Cabo primero del Ejército Nacional;
0;02100;Suboficiales de las Fuerzas Militares;02100.004;Cabo segundo de Infantería de Marina;
0;02100;Suboficiales de las Fuerzas Militares;02100.005;Cabo segundo del Ejército Nacional;
0;02100;Suboficiales de las Fuerzas Militares;02100.006;Cabo tercero de Infantería de Marina;
0;02100;Suboficiales de las Fuerzas Militares;02100.007;Cabo tercero del Ejército Nacional;
0;02100;Suboficiales de las Fuerzas Militares;02100.008;Contramaestre de Marina;
0;02100;Suboficiales de las Fuerzas Militares;02100.009;Contramaestre Militar;
0;02100;Suboficiales de las Fuerzas Militares;02100.010;Marinero de la Armada;
0;02100;Suboficiales de las Fuerzas Militares;02100.011;Marinero primero de la Armada Nacional;
0;02100;Suboficiales de las Fuerzas Militares;02100.012;Marinero segundo de la Armada Nacional;
0;02100;Suboficiales de las Fuerzas Militares;02100.013;Sargento del Ejército;
0;02100;Suboficiales de las Fuerzas Militares;02100.014;Sargento mayor de comando conjunto de Infantería de Marina;
0;02100;Suboficiales de las Fuerzas Militares;02100.015;Sargento mayor de comando conjunto del Ejército Nacional;
0;02100;Suboficiales de las Fuerzas Militares;02100.016;Sargento mayor de comando de Infantería de Marina;
0;02100;Suboficiales de las Fuerzas Militares;02100.017;Sargento mayor de comando del Ejército;
0;02100;Suboficiales de las Fuerzas Militares;02100.018;Sargento mayor de Infantería de Marina;
0;02100;Suboficiales de las Fuerzas Militares;02100.019;Sargento mayor del Ejército Nacional;
0;02100;Suboficiales de las Fuerzas Militares;02100.020;Sargento primero de Infantería de Marina;
0;02100;Suboficiales de las Fuerzas Militares;02100.021;Sargento primero del Ejército Nacional;
0;02100;Suboficiales de las Fuerzas Militares;02100.022;Sargento segundo de Infantería de Marina;
0;02100;Suboficiales de las Fuerzas Militares;02100.023;Sargento segundo del Ejército Nacional;
0;02100;Suboficiales de las Fuerzas Militares;02100.024;Sargento viceprimero del Ejército Nacional;
