"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;ID;Nombre de la Destreza;
0;01100;Oficiales de las Fuerzas Militares;4;Comunicación asertiva;
0;01100;Oficiales de las Fuerzas Militares;28;Criterio y toma de decisiones;
0;01100;Oficiales de las Fuerzas Militares;9;Evaluación y control de actividades;
0;01100;Oficiales de las Fuerzas Militares;32;Gestión del Talento Humano y de Personal;
0;01100;Oficiales de las Fuerzas Militares;33;Liderazgo;
0;01100;Oficiales de las Fuerzas Militares;16;Resolución de problemas complejos;
0;01100;Oficiales de las Fuerzas Militares;11;Trabajo en equipo;
0;02100;Suboficiales de las Fuerzas Militares;4;Comunicación asertiva;
0;02100;Suboficiales de las Fuerzas Militares;2;Escucha activa;
0;02100;Suboficiales de las Fuerzas Militares;9;Evaluación y control de actividades;
0;02100;Suboficiales de las Fuerzas Militares;32;Gestión del Talento Humano y de Personal;
0;02100;Suboficiales de las Fuerzas Militares;33;Liderazgo;
0;02100;Suboficiales de las Fuerzas Militares;16;Resolución de problemas complejos;
0;02100;Suboficiales de las Fuerzas Militares;38;Seguir instrucciones;
0;03100;Otros miembros de las Fuerzas Militares;4;Comunicación asertiva;
0;03100;Otros miembros de las Fuerzas Militares;2;Escucha activa;
0;03100;Otros miembros de las Fuerzas Militares;9;Evaluación y control de actividades;
0;03100;Otros miembros de las Fuerzas Militares;15;Orientación al servicio;
0;03100;Otros miembros de las Fuerzas Militares;37;Proactividad;
0;03100;Otros miembros de las Fuerzas Militares;38;Seguir instrucciones;
0;03100;Otros miembros de las Fuerzas Militares;11;Trabajo en equipo;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;4;Comunicación asertiva;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;28;Criterio y toma de decisiones;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;9;Evaluación y control de actividades;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;33;Liderazgo;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;6;Pensamiento crítico;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;10;Relaciones interpersonales;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;16;Resolución de problemas complejos;
1;11120;Directores del gobierno / Directoras del gobierno;22;Análisis de control de calidad;
1;11120;Directores del gobierno / Directoras del gobierno;1;Comprensión de lectura;
1;11120;Directores del gobierno / Directoras del gobierno;4;Comunicación asertiva;
1;11120;Directores del gobierno / Directoras del gobierno;13;Conciliación;
1;11120;Directores del gobierno / Directoras del gobierno;28;Criterio y toma de decisiones;
1;11120;Directores del gobierno / Directoras del gobierno;2;Escucha activa;
1;11120;Directores del gobierno / Directoras del gobierno;9;Evaluación y control de actividades;
1;11130;Jefes de comunidades étnicas / Jefas de comunidades étnicas;17;Análisis de necesidades;
1;11130;Jefes de comunidades étnicas / Jefas de comunidades étnicas;4;Comunicación asertiva;
1;11130;Jefes de comunidades étnicas / Jefas de comunidades étnicas;28;Criterio y toma de decisiones;
1;11130;Jefes de comunidades étnicas / Jefas de comunidades étnicas;9;Evaluación y control de actividades;
1;11130;Jefes de comunidades étnicas / Jefas de comunidades étnicas;35;Flexibilidad y adaptabilidad;
1;11130;Jefes de comunidades étnicas / Jefas de comunidades étnicas;6;Pensamiento crítico;
1;11130;Jefes de comunidades étnicas / Jefas de comunidades étnicas;16;Resolución de problemas complejos;
1;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);4;Comunicación asertiva;
1;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);13;Conciliación;
1;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);28;Criterio y toma de decisiones;
1;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);32;Gestión del Talento Humano y de Personal;
1;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);6;Pensamiento crítico;
1;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);10;Relaciones interpersonales;
1;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);16;Resolución de problemas complejos;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;4;Comunicación asertiva;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;28;Criterio y toma de decisiones;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;9;Evaluación y control de actividades;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;35;Flexibilidad y adaptabilidad;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;33;Liderazgo;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;10;Relaciones interpersonales;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;16;Resolución de problemas complejos;
1;12111;Directores y gerentes financieros / Directoras y gerentas financieras;4;Comunicación asertiva;
1;12111;Directores y gerentes financieros / Directoras y gerentas financieras;28;Criterio y toma de decisiones;
1;12111;Directores y gerentes financieros / Directoras y gerentas financieras;9;Evaluación y control de actividades;
1;12111;Directores y gerentes financieros / Directoras y gerentas financieras;31;Gestión de recursos materiales;
1;12111;Directores y gerentes financieros / Directoras y gerentas financieras;33;Liderazgo;
1;12111;Directores y gerentes financieros / Directoras y gerentas financieras;6;Pensamiento crítico;
1;12111;Directores y gerentes financieros / Directoras y gerentas financieras;16;Resolución de problemas complejos;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;4;Comunicación asertiva;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;28;Criterio y toma de decisiones;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;2;Escucha activa;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;9;Evaluación y control de actividades;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;33;Liderazgo;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;6;Pensamiento crítico;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;12;Persuasión;
