"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;;
Código de la Ocupación;Nombre de la Ocupación;Código CIUO-08;Observaciones sobre la CIUO-08;Código CNO;Observaciones sobre la CNO;
01100;Oficiales de las Fuerzas Militares;0110;Denominaciones completas;0641;Denominaciones completas;
02100;Suboficiales de las Fuerzas Militares;0210;Denominaciones completas;6221;Denominaciones completas;
03100;Otros miembros de las Fuerzas Militares;0310;Denominaciones completas;"1373*";Denominaciones parciales;
03100;Otros miembros de las Fuerzas Militares;;;6366;Denominaciones completas;
11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;1111;Denominaciones completas;0011;Denominaciones completas;
11120;Directores del gobierno / Directoras del gobierno;1112*;Denominaciones parciales;"0012*";Denominaciones parciales;
11120;Directores del gobierno / Directoras del gobierno;;;"0412*";Denominaciones parciales;
11120;Directores del gobierno / Directoras del gobierno;;;"0413*";Denominaciones parciales;
11120;Directores del gobierno / Directoras del gobierno;;;"0414*";Denominaciones parciales;
11120;Directores del gobierno / Directoras del gobierno;;;0642*;Denominaciones parciales;
11130;Jefes de comunidades étnicas / Jefas de comunidades étnicas;1113;Denominaciones completas;0012*;Denominaciones parciales;
11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);1114;Denominaciones completas;"0012*";Denominaciones parciales;
11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;"0014*";Denominaciones parciales;
11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;"0015*";Denominaciones parciales;
11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;"0414*";Denominaciones parciales;
11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;0423*;Denominaciones parciales;
11200;Directores y gerentes generales / Directoras y gerentas generales;"1112*";Denominaciones parciales;"0012*";Denominaciones parciales;
11200;Directores y gerentes generales / Directoras y gerentas generales;"1120*";Denominaciones parciales;"0013*";Denominaciones parciales;
11200;Directores y gerentes generales / Directoras y gerentas generales;"1321*";Denominaciones parciales;"0014*";Denominaciones parciales;
11200;Directores y gerentes generales / Directoras y gerentas generales;"1322*";Denominaciones parciales;"0015*";Denominaciones parciales;
