"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;Consecutivo de la Función;Funciones de la Ocupación;
0;01100;Oficiales de las Fuerzas Militares;1;Planear, organizar, comandar e implementar las políticas y actividades de divisiones, brigadas, bases, batallones o unidades militares de combate en el Ejército Nacional, Armada Nacional o Fuerza Aérea colombiana.;
0;01100;Oficiales de las Fuerzas Militares;2;Comandar y participar en las operaciones de las fuerzas especiales y de tarea conjunta.;
0;01100;Oficiales de las Fuerzas Militares;3;Desarrollar operaciones militares con base en el conocimiento de las capacidades y acciones de la unidad a su cargo.;
0;01100;Oficiales de las Fuerzas Militares;4;Dirigir operaciones de despliegue rápido.;
0;01100;Oficiales de las Fuerzas Militares;5;Asumir la responsabilidad por el bienestar moral y disciplina de los batallones, destacamentos o unidades a su cargo.;
0;01100;Oficiales de las Fuerzas Militares;6;Comandar e intervenir en actividades de vigilancia y protección del territorio, espacio aéreo y aguas territoriales.;
0;01100;Oficiales de las Fuerzas Militares;7;Capacitar y preparar al personal en operaciones militares, el uso de armas y demás equipos de combate.;
0;01100;Oficiales de las Fuerzas Militares;8;Dirigir y orientar a los subordinados en el entrenamiento y las actividades de unidades de acuerdo con prácticas militares.;
0;01100;Oficiales de las Fuerzas Militares;9;Orientar los ejercicios de combate y otros entrenamientos de actividades de carácter ceremonial y público.;
0;01100;Oficiales de las Fuerzas Militares;10;Evitar cualquier práctica abusiva, arbitraria o discriminatoria.;
0;01100;Oficiales de las Fuerzas Militares;11;Organizar y brindar ayuda en operaciones de apoyo a las autoridades civiles en el control del orden público, apoyo en desastres naturales y otras situaciones de emergencia.;
0;01100;Oficiales de las Fuerzas Militares;12;Realizar tareas civiles bajo el grado de oficiales.;
0;01100;Oficiales de las Fuerzas Militares;13;Pasar revista a las unidades, preparar informes y rendir partes a sus superiores.;
0;01100;Oficiales de las Fuerzas Militares;14;Desempeñar funciones afines.;
0;02100;Suboficiales de las Fuerzas Militares;1;Planificar, dirigir, controlar e implementar políticas y procedimientos de unidades militares en consulta con los superiores.;
0;02100;Suboficiales de las Fuerzas Militares;2;Comandar y dirigir las actividades de unidades a su cargo de acuerdo con prácticas militares y mantener la disciplina.;
0;02100;Suboficiales de las Fuerzas Militares;3;Desarrollar operativos militares conforme a las pautas impartidas por los oficiales superiores.;
0;02100;Suboficiales de las Fuerzas Militares;4;Comandar, siguiendo lineamientos de los oficiales superiores, actividades de vigilancia y protección del territorio, espacio aéreo y aguas territoriales.;
0;02100;Suboficiales de las Fuerzas Militares;5;Asumir la responsabilidad por el bienestar, moral y disciplina de las unidades a su cargo.;
0;02100;Suboficiales de las Fuerzas Militares;6;Apoyar a los superiores en la orientación de ejercicios de combate y otros entrenamientos, y participar en actividades de carácter ceremonial y público.;
0;02100;Suboficiales de las Fuerzas Militares;7;Apoyar a los oficiales en la capacitación y preparación del personal para operaciones militares, el uso de armas y demás equipos de militares para el mantenimiento de la seguridad nacional.;
0;02100;Suboficiales de las Fuerzas Militares;8;Pasar revista a las unidades, preparar y rendir informes a sus superiores.;
0;02100;Suboficiales de las Fuerzas Militares;9;Participar y brindar ayuda en operaciones de apoyo a las autoridades civiles en el control del orden público, en funciones de socorro en desastres naturales y otras situaciones de emergencia cuando se requiera.;
0;02100;Suboficiales de las Fuerzas Militares;10;Evitar cualquier práctica abusiva, arbitraria o discriminatoria.;
0;02100;Suboficiales de las Fuerzas Militares;11;Realizar tareas civiles bajo el grado de suboficiales.;
0;02100;Suboficiales de las Fuerzas Militares;12;Desempeñar funciones afines.;
0;03100;Otros miembros de las Fuerzas Militares;1;Acatar procedimientos con base en las directrices de los comandantes de las unidades militares y normas de disciplina.;
0;03100;Otros miembros de las Fuerzas Militares;2;Atender actividades de vigilancia y protección del territorio, espacio aéreo y aguas territoriales.;
0;03100;Otros miembros de las Fuerzas Militares;3;Operar vehículos blindados, artillería, armamento y otros equipos de combate militar y sistemas de defensa.;
0;03100;Otros miembros de las Fuerzas Militares;4;Participar en ejercicios de combate y otros entrenamientos de preparación y en actividades de carácter ceremonial y público.;
0;03100;Otros miembros de las Fuerzas Militares;5;Participar y brindar ayuda en operaciones de apoyo a las autoridades civiles en el control del orden público, en funciones de socorro en desastres naturales y otras situaciones de emergencia.;
0;03100;Otros miembros de las Fuerzas Militares;6;Ejercer funciones de guardia.;
0;03100;Otros miembros de las Fuerzas Militares;7;Operar y asistir en el mantenimiento del equipo de comunicación fijo, aéreo transportable, móvil y naval en las Fuerzas Armadas.;
0;03100;Otros miembros de las Fuerzas Militares;8;Desempeñar funciones administrativas.;
0;03100;Otros miembros de las Fuerzas Militares;9;Desempeñar funciones afines.;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;1;Definir, formular y orientar la política, programas y procedimientos del gobierno nacional, departamental y municipal o de la colectividad local.;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;2;Elaborar, promulgar, modificar o derogar leyes y decretos de los gobiernos, dentro del marco de la constitución que determina sus poderes y el ámbito de su jurisdicción.;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;3;Nombrar a los jefes de los gabinetes ministeriales, departamentos administrativos, agentes diplomáticos y demás directores o gerentes de establecimientos públicos, cuyo nombramiento no corresponda según la ley a otros funcionarios o corporaciones.;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;4;Presidir los trabajos de los cuerpos legislativos deliberantes del gobierno nacional, departamental y municipal o de la colectividad local, o participar en dichos trabajos.;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;5;Integrar consejos deliberantes del gobierno o comisiones oficiales.;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;6;Defender los intereses del electorado que representan.;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;7;Dirigir, asesorar e interpretar en su calidad de miembro del gobierno a los administradores, funcionarios de los estamentos ministeriales y de los órganos que de ellos dependen en cuanto a la interpretación y aplicación de la política del gobierno.;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;8;Representar a la rama del poder público correspondiente o delegar en representantes para que actúe en nombre de ella en audiencias públicas, medios de comunicación u otras funciones oficiales.;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;9;Preparar y presentar informes de sus programas y actividades a los entes de control y corporaciones.;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;10;Planear, dirigir y supervisar la formación, entrenamiento, rendimiento, selección y contratación del personal a cargo.;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;11;Desempeñar funciones afines.;
1;11120;Directores del gobierno / Directoras del gobierno;1;Formular o aprobar y evaluar los programas, objetivos y procedimientos para la aplicación de las políticas gubernamentales en conjunción o consulta con el gobierno o comités principales.;
1;11120;Directores del gobierno / Directoras del gobierno;2;Recomendar, revisar, evaluar y aprobar los documentos, escritos, informes, reportajes, investigación y observaciones sobre temas en particular presentados por los mandos medios y altos funcionarios.;
1;11120;Directores del gobierno / Directoras del gobierno;3;Organizar, dirigir y garantizar que los comités de evaluación, control de investigaciones, sistemas y procedimientos apropiados son desarrollados e implementados para ofrecer un control presupuestario, normativo y administrativo.;
1;11120;Directores del gobierno / Directoras del gobierno;4;Coordinar y asesorar con asistencia de otros directores, grupos de trabajo y funcionarios las actividades u órganos del gobierno que lo requieran.;
1;11120;Directores del gobierno / Directoras del gobierno;5;Planear, coordinar y vigilar la logística, protocolo diplomático de reuniones intergubernamentales conferencias con dirigentes y funcionarios del orden nacional, municipal o departamental.;
