"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;Código de la Ocupación Afin;Nombre de la Ocupación Afin;
0;01100;Oficiales de las Fuerzas Militares;02100;Suboficiales de las Fuerzas Militares;
0;01100;Oficiales de las Fuerzas Militares;11120;Directores del gobierno / Directoras del gobierno;
0;01100;Oficiales de las Fuerzas Militares;13499;Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones / Directoras y gerentes de servicios profesionales no clasificados en otras ocupaciones;
0;01100;Oficiales de las Fuerzas Militares;33510;Inspectores de aduana, fronteras y migración / Inspectoras de aduana, fronteras y migración;
0;02100;Suboficiales de las Fuerzas Militares;01100;Oficiales de las Fuerzas Militares;
0;02100;Suboficiales de las Fuerzas Militares;11120;Directores del gobierno / Directoras del gobierno;
0;02100;Suboficiales de las Fuerzas Militares;13499;Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones / Directoras y gerentes de servicios profesionales no clasificados en otras ocupaciones;
0;02100;Suboficiales de las Fuerzas Militares;33510;Inspectores de aduana, fronteras y migración / Inspectoras de aduana, fronteras y migración;
0;02100;Suboficiales de las Fuerzas Militares;33551;Inspectores y detectives de policía / Inspectoras y detectives de policía;
0;03100;Otros miembros de las Fuerzas Militares;54123;Patrulleros y agentes de policía / Patrulleras y agentes de policía;
0;03100;Otros miembros de las Fuerzas Militares;54199;Personal de los servicios de protección no clasificadas en otras ocupaciones;
1;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;11130;Jefes de comunidades étnicas / Jefas de comunidades étnicas;
1;11120;Directores del gobierno / Directoras del gobierno;11130;Jefes de comunidades étnicas / Jefas de comunidades étnicas;
1;11120;Directores del gobierno / Directoras del gobierno;11200;Directores y gerentes generales / Directoras y gerentas generales;
1;11120;Directores del gobierno / Directoras del gobierno;12130;Directores y gerentes de políticas y planeación / Directoras y gerentas de políticas y planeación;
1;11130;Jefes de comunidades étnicas / Jefas de comunidades étnicas;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;
1;11130;Jefes de comunidades étnicas / Jefas de comunidades étnicas;11120;Directores del gobierno / Directoras del gobierno;
1;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);11120;Directores del gobierno / Directoras del gobierno;
1;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);11130;Jefes de comunidades étnicas / Jefas de comunidades étnicas;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;11120;Directores del gobierno / Directoras del gobierno;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;12111;Directores y gerentes financieros / Directoras y gerentas financieras;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;13220;Directores y gerentes de producción primaria (excepto agricultura) / Directoras y gerentas de producción primaria (excepto agricultura);
1;11200;Directores y gerentes generales / Directoras y gerentas generales;13230;Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;13301;Directores y gerentes de telecomunicaciones / Directoras y gerentas de telecomunicaciones;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;13420;Directores y gerentes de servicios de salud / Directoras y gerentas de servicios de salud;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;13430;Directores y gerentes de servicios de atención a personas mayores / Directoras y gerentas de servicios de atención a personas mayores;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;13440;Directores y gerentes de servicios de bienestar social, comunitario y correccional / Directoras y gerentas de servicios de bienestar social, comunitario y correccional;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;13460;Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros / Directoras y gerentas de sucursales de bancos, de servicios financieros y de seguros;
1;12111;Directores y gerentes financieros / Directoras y gerentas financieras;11200;Directores y gerentes generales / Directoras y gerentas generales;
1;12111;Directores y gerentes financieros / Directoras y gerentas financieras;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;
1;12111;Directores y gerentes financieros / Directoras y gerentas financieras;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;
1;12111;Directores y gerentes financieros / Directoras y gerentas financieras;13460;Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros / Directoras y gerentas de sucursales de bancos, de servicios financieros y de seguros;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;12111;Directores y gerentes financieros / Directoras y gerentas financieras;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;
1;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;13460;Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros / Directoras y gerentas de sucursales de bancos, de servicios financieros y de seguros;
1;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;11200;Directores y gerentes generales / Directoras y gerentas generales;
1;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;12111;Directores y gerentes financieros / Directoras y gerentas financieras;
1;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;
1;12113;Directores y gerentes de banca, crédito e inversiones / Directoras y gerentas de banca, crédito e inversiones;13460;Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros / Directoras y gerentas de sucursales de bancos, de servicios financieros y de seguros;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;24231;Profesionales de talento humano;
