Código del Gran Grupo;Nombre del Gran Grupo;Código del Subgrupo Principal;Nombre del Subgrupo Principal;Código del Subgrupo;Nombre del Subgrupo;Código del Grupo Primario;Nombre del Grupo Primario;Código de la Ocupación;Nombre de la Ocupación;
0;FUERZAS MILITARES;01;OFICIALES DE LAS FUERZAS MILITARES;011;Oficiales de las Fuerzas Militares;0110;Oficiales de las Fuerzas Militares;01100;Oficiales de las Fuerzas Militares;
0;FUERZAS MILITARES;02;SUBOFICIALES DE LAS FUERZAS MILITARES;021;Suboficiales de las Fuerzas Militares;0210;Suboficiales de las Fuerzas Militares;02100;Suboficiales de las Fuerzas Militares;
0;FUERZAS MILITARES;03;OTROS MIEMBROS DE LAS FUERZAS MILITARES;031;Otros miembros de las Fuerzas Militares;0310;Otros miembros de las Fuerzas Militares;03100;Otros miembros de las Fuerzas Militares;
1;DIRECTORES Y GERENTES;11;DIRECTORES EJECUTIVOS, PERSONAL DIRECTIVO DE LA ADMINISTRACIÓN Y LEGISLATIVOS;111;Miembros del poder ejecutivo y de los cuerpos legislativos;1111;Directores formuladores y ejecutores de políticas y normas;11110;Directores formuladores y ejecutores de políticas y normas / Directoras formuladoras y ejecutoras de políticas y normas;
1;DIRECTORES Y GERENTES;11;DIRECTORES EJECUTIVOS, PERSONAL DIRECTIVO DE LA ADMINISTRACIÓN Y LEGISLATIVOS;111;Miembros del poder ejecutivo y de los cuerpos legislativos;1112;Directores del gobierno;11120;Directores del gobierno / Directoras del gobierno;
1;DIRECTORES Y GERENTES;11;DIRECTORES EJECUTIVOS, PERSONAL DIRECTIVO DE LA ADMINISTRACIÓN Y LEGISLATIVOS;111;Miembros del poder ejecutivo y de los cuerpos legislativos;1113;Jefes de comunidades étnicas;11130;Jefes de comunidades étnicas / Jefas de comunidades étnicas;
1;DIRECTORES Y GERENTES;11;DIRECTORES EJECUTIVOS, PERSONAL DIRECTIVO DE LA ADMINISTRACIÓN Y LEGISLATIVOS;111;Miembros del poder ejecutivo y de los cuerpos legislativos;1114;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);
1;DIRECTORES Y GERENTES;11;DIRECTORES EJECUTIVOS, PERSONAL DIRECTIVO DE LA ADMINISTRACIÓN Y LEGISLATIVOS;112;Directores y gerentes generales;1120;Directores y gerentes generales;11200;Directores y gerentes generales / Directoras y gerentas generales;
1;DIRECTORES Y GERENTES;12;DIRECTORES ADMINISTRATIVOS Y COMERCIALES;121;Directores de administración y servicios;1211;Directores y gerentes de servicios financieros;12111;Directores y gerentes financieros / Directoras y gerentas financieras;
1;DIRECTORES Y GERENTES;12;DIRECTORES ADMINISTRATIVOS Y COMERCIALES;121;Directores de administración y servicios;1211;Directores y gerentes de servicios financieros;12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero / Directoras y gerentas de seguros, bienes raíces y corretaje financiero;
