"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;SIGLA;Área de Cualificación Complementaria;
1;11120;Directores del gobierno / Directoras del gobierno;COMP;Comercio, mercadeo y publicidad;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;AGVE;Agropecuario, silvicultura, pesca, acuicultura y veterinaria;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;AVEM;Audiovisuales, y artes escénicas y música;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;COMP;Comercio, mercadeo y publicidad;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;COIF;Construcción e infraestructura;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;EDFO;Educación y formación;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;ETAL;Elaboración y transformación de alimentos;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;EMCP;Exploración y extracción de minas, canteras, petróleo y gas;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;LOTR;Logística y transporte;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;SABI;Salud y bienestar;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;SEGU;Seguridad;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;SEPC;Servicios personales y a la comunidad;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;TICO;Tecnologías de la información y las comunicaciones;
1;11200;Directores y gerentes generales / Directoras y gerentas generales;TUHG;Turismo, hotelería y gastronomía;
1;12120;Directores y gerentes de gestión de talento humano / Directoras y gerentas de gestión de talento humano;SABI;Salud y bienestar;
1;12191;Directores y gerentes de limpieza y mantenimiento / Directoras y gerentas de limpieza y mantenimiento;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;CPSA;Conservación, protección y saneamiento ambiental;
1;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones / Directoras y gerentas de administración y servicios no clasificados en otras ocupaciones;SEGU;Seguridad;
1;12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;COMP;Comercio, mercadeo y publicidad;
1;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;CNME;Ciencias naturales, matemáticas y estadística;
1;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;ETAL;Elaboración y transformación de alimentos;
1;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
1;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;INQU;Industria química;
1;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;PEEL;Producción de energía y electricidad;
1;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;TICO;Tecnologías de la información y las comunicaciones;
1;13110;Directores y gerentes de producción agropecuaria y silvicultura / Directoras y gerentas de producción agropecuaria y silvicultura;AGVE;Agropecuario, silvicultura, pesca, acuicultura y veterinaria;
1;13110;Directores y gerentes de producción agropecuaria y silvicultura / Directoras y gerentas de producción agropecuaria y silvicultura;CPSA;Conservación, protección y saneamiento ambiental;
1;13110;Directores y gerentes de producción agropecuaria y silvicultura / Directoras y gerentas de producción agropecuaria y silvicultura;ETAL;Elaboración y transformación de alimentos;
1;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;CPSA;Conservación, protección y saneamiento ambiental;
1;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
1;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;INQU;Industria química;
1;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;LIAG;Literatura y artes gráficas;
