Tabla,Codigo,Nombre,Descripcion,Habilitado,Aplicacion,IsStandardGEL,IsStandardMSPS,Extra_I:Cobertura,Extra_II,Extra_III,Extra_IV,Extra_V,Extra_VI,Extra_VII,Extra_VIII,Extra_IX,Extra_X,ValorRegistro,UsuarioResponsable,Fecha_Actualizacion,IsPublicPrivate
CUPS,010101,"PUNCION CISTERNAL, VIA LATERAL",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.0.1.01,10101,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,010102,"PUNCION CISTERNAL, VIA MEDIAL",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.0.1.02,10102,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,010103,PUNCION CISTERNAL,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.0.1.03,10103,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,010201,PUNCION (ASPIRACION DE LIQUIDO) VENTRICULAR A TRAVES DE CATETER PREVIAMENTE IMPLANTADO,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.0.2.01,10201,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,010202,PUNCION (ASPIRACION DE LIQUIDO) VENTRICULAR POR TREPANACION (SIN CATETER),CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.0.2.02,10202,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,010203,PUNCION (ASPIRACION DE LIQUIDO) VENTRICULAR A TRAVES DE UN RESERVORIO,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.0.2.03,10203,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,010204,"PUNCION (ASPIRACION DE LIQUIDO) VENTRICULAR, VIA TRANSFONTANELAR",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.0.2.04,10204,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,010205,PUNCION (ASPIRACION DE LIQUIDO) VENTRICULAR,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.0.2.05,10205,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,010901,PUNCION SUBDURAL,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.0.9.01,10901,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,010902,OTRA PUNCION CRANEAL,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.0.9.02,10902,,,,,,,NA,,,2025-04-03 11:27:25 AM,
