code,municipality,type
5001,MEDELLÍN,Municipio
5002,ABEJORRAL,Municipio
5004,ABRIAQUÍ,Municipio
5021,ALEJANDRÍA,Municipio
5030,AMAGÁ,Municipio
5031,AMALFI,Municipio
5034,ANDES,Municipio
5036,ANGELÓPOLIS,Municipio
5038,ANGOSTURA,Municipio
5040,ANORÍ,Municipio
5042,SANTA FÉ DE ANTIOQUIA,Municipio
5044,ANZÁ,Municipio
5045,APARTADÓ,Municipio
5051,ARBOLETES,Municipio
5055,ARGELIA,Municipio
5059,ARMENIA,Municipio
5079,BARBOSA,Municipio
5086,BELMIRA,Municipio
5088,BELLO,Municipio
5091,BETANIA,Municipio
5093,BETULIA,Municipio
5101,CIUDAD BOLÍVAR,Municipio
5107,BRICEÑO,Municipio
5113,BURITICÁ,Municipio
5120,CÁCERES,Municipio
5125,CAICEDO,Municipio
5129,CALDAS,Municipio
5134,CAMPAMENTO,Municipio
5138,CAÑASGORDAS,Municipio
5142,CARACOLÍ,Municipio
5145,CARAMANTA,Municipio
5147,CAREPA,Municipio
5148,EL CARMEN DE VIBORAL,Municipio
5150,CAROLINA,Municipio
5154,CAUCASIA,Municipio
5172,CHIGORODÓ,Municipio
5190,CISNEROS,Municipio
5197,COCORNÁ,Municipio
5206,CONCEPCIÓN,Municipio
5209,CONCORDIA,Municipio
5212,COPACABANA,Municipio
5234,DABEIBA,Municipio
5237,DONMATÍAS,Municipio
5240,EBÉJICO,Municipio
5250,EL BAGRE,Municipio
5264,ENTRERRÍOS,Municipio
5266,ENVIGADO,Municipio
5282,FREDONIA,Municipio
5284,FRONTINO,Municipio
5306,GIRALDO,Municipio
5308,GIRARDOTA,Municipio
5310,GÓMEZ PLATA,Municipio
5313,GRANADA,Municipio
5315,GUADALUPE,Municipio
5318,GUARNE,Municipio
5321,GUATAPÉ,Municipio
5347,HELICONIA,Municipio
5353,HISPANIA,Municipio
5360,ITAGÜÍ,Municipio
5361,ITUANGO,Municipio
5364,JARDÍN,Municipio
5368,JERICÓ,Municipio
5376,LA CEJA,Municipio
5380,LA ESTRELLA,Municipio
5390,LA PINTADA,Municipio
5400,LA UNIÓN,Municipio
5411,LIBORINA,Municipio
5425,MACEO,Municipio
5440,MARINILLA,Municipio
5467,MONTEBELLO,Municipio
5475,MURINDÓ,Municipio
5480,MUTATÁ,Municipio
5483,NARIÑO,Municipio
5490,NECOCLÍ,Municipio
5495,NECHÍ,Municipio
5501,OLAYA,Municipio
5541,PEÑOL,Municipio
5543,PEQUE,Municipio
5576,PUEBLORRICO,Municipio
5579,PUERTO BERRÍO,Municipio
5585,PUERTO NARE,Municipio
5591,PUERTO TRIUNFO,Municipio
5604,REMEDIOS,Municipio
5607,RETIRO,Municipio
5615,RIONEGRO,Municipio
5628,SABANALARGA,Municipio
5631,SABANETA,Municipio
5642,SALGAR,Municipio
5647,SAN ANDRÉS DE CUERQUÍA,Municipio
5649,SAN CARLOS,Municipio
5652,SAN FRANCISCO,Municipio
5656,SAN JERÓNIMO,Municipio
5658,SAN JOSÉ DE LA MONTAÑA,Municipio
5659,SAN JUAN DE URABÁ,Municipio
5660,SAN LUIS,Municipio
5664,SAN PEDRO DE LOS MILAGROS,Municipio
5665,SAN PEDRO DE URABÁ,Municipio
5667,SAN RAFAEL,Municipio
5670,SAN ROQUE,Municipio
5674,SAN VICENTE FERRER,Municipio
5679,SANTA BÁRBARA,Municipio
5686,SANTA ROSA DE OSOS,Municipio
5690,SANTO DOMINGO,Municipio
5697,EL SANTUARIO,Municipio
5736,SEGOVIA,Municipio
5756,SONSÓN,Municipio
5761,SOPETRÁN,Municipio
5789,TÁMESIS,Municipio
5790,TARAZÁ,Municipio
5792,TARSO,Municipio
5809,TITIRIBÍ,Municipio
5819,TOLEDO,Municipio
