
105,CUIDADO INTERMEDIO NEONATAL,INTERNACION
106,CUIDADO INTERMEDIO PEDIATRICO,INTERNACION
107,CUIDADO INTERMEDIO ADULTOS,INTERNACION
108,CUIDADO INTENSIVO NEONATAL,INTERNACION
109,CUIDADO INTENSIVO PEDIATRICO,INTERNACION
110,CUIDADO INTENSIVO ADULTOS,INTERNACION
1101,ATENCION DEL PARTO,ATENCION INMEDIATA
1102,URGENCIAS,ATENCION INMEDIATA
1103,TRANSPORTE ASISTENCIAL BASICO,ATENCION INMEDIATA
1104,TRANSPORTE ASISTENCIAL MEDICALIZADO,ATENCION INMEDIATA
1105,ATENCION PREHOSPITALARIA,ATENCION INMEDIATA
120,CUIDADO BASICO NEONATAL,INTERNACION
129,HOSPITALIZACION ADULTOS,INTERNACION
130,HOSPITALIZACION PEDIATRICA,INTERNACION
131,HOSPITALIZACION EN SALUD MENTAL,INTERNACION
132,HOSPITALIZACION PARCIAL,INTERNACION
133,HOSPITALIZACION PACIENTE CRONICO CON VENTILADOR,INTERNACION
134,HOSPITALIZACION PACIENTE CRONICO SIN VENTILADOR,INTERNACION
135,HOSPITALIZACION EN CONSUMO DE SUSTANCIAS PSICOACTIVAS,INTERNACION
138,CUIDADO BASICO DEL CONSUMO DE SUSTANCIAS PSICOACTIVAS,INTERNACION
201,CIRUGIA DE CABEZA Y CUELLO,QUIRURGICOS
202,CIRUGIA CARDIOVASCULAR,QUIRURGICOS
203,CIRUGIA GENERAL,QUIRURGICOS
204,CIRUGIA GINECOLOGICA,QUIRURGICOS
205,CIRUGIA MAXILOFACIAL,QUIRURGICOS
207,CIRUGIA ORTOPEDICA,QUIRURGICOS
208,CIRUGIA OFTALMOLOGICA,QUIRURGICOS
209,CIRUGIA OTORRINOLARINGOLOGIA,QUIRURGICOS
210,CIRUGIA ONCOLOGICA,QUIRURGICOS
211,CIRUGIA ORAL,QUIRURGICOS
212,CIRUGIA PEDIATRICA,QUIRURGICOS
213,CIRUGIA PLASTICA Y ESTETICA,QUIRURGICOS
214,CIRUGIA VASCULAR Y ANGIOLOGICA,QUIRURGICOS
215,CIRUGIA UROLOGICA,QUIRURGICOS
217,OTRAS CIRUGIAS,QUIRURGICOS
218,CIRUGIA ENDOVASCULAR NEUROLOGICA,QUIRURGICOS
227,CIRUGIA ONCOLOGICA PEDIATRICA,QUIRURGICOS
231,CIRUGIA DE LA MANO,QUIRURGICOS
232,CIRUGIA DE MAMA Y TUMORES TEJIDOS BLANDOS,QUIRURGICOS
233,CIRUGIA DERMATOLOGICA,QUIRURGICOS
234,CIRUGIA DE TORAX,QUIRURGICOS
235,CIRUGIA GASTROINTESTINAL,QUIRURGICOS
237,CIRUGIA PLASTICA ONCOLOGICA,QUIRURGICOS
245,NEUROCIRUGIA,QUIRURGICOS
301,ANESTESIA,CONSULTA EXTERNA
302,CARDIOLOGIA,CONSULTA EXTERNA
303,CIRUGIA CARDIOVASCULAR,CONSULTA EXTERNA
304,CIRUGIA GENERAL,CONSULTA EXTERNA
306,CIRUGIA PEDIATRICA,CONSULTA EXTERNA
308,DERMATOLOGIA,CONSULTA EXTERNA
309,DOLOR Y CUIDADOS PALIATIVOS,CONSULTA EXTERNA
310,ENDOCRINOLOGIA,CONSULTA EXTERNA
311,ENDODONCIA,CONSULTA EXTERNA
312,ENFERMERIA,CONSULTA EXTERNA
313,ESTOMATOLOGIA,CONSULTA EXTERNA
316,GASTROENTEROLOGIA,CONSULTA EXTERNA
317,GENETICA,CONSULTA EXTERNA
318,GERIATRIA,CONSULTA EXTERNA
320,GINECOBSTETRICIA,CONSULTA EXTERNA
321,HEMATOLOGIA,CONSULTA EXTERNA
323,INFECTOLOGIA,CONSULTA EXTERNA
324,INMUNOLOGIA,CONSULTA EXTERNA
325,MEDICINA FAMILIAR,CONSULTA EXTERNA
326,MEDICINA FISICA Y DEL DEPORTE,CONSULTA EXTERNA
327,MEDICINA FISICA Y REHABILITACION,CONSULTA EXTERNA
328,MEDICINA GENERAL,CONSULTA EXTERNA
329,MEDICINA INTERNA,CONSULTA EXTERNA
330,NEFROLOGIA,CONSULTA EXTERNA
331,NEUMOLOGIA,CONSULTA EXTERNA
332,NEUROLOGIA,CONSULTA EXTERNA
333,NUTRICION Y DIETETICA,CONSULTA EXTERNA
334,ODONTOLOGIA GENERAL,CONSULTA EXTERNA
335,OFTALMOLOGIA,CONSULTA EXTERNA
336,ONCOLOGIA CLINICA,CONSULTA EXTERNA
337,OPTOMETRIA,CONSULTA EXTERNA
338,ORTODONCIA,CONSULTA EXTERNA
339,ORTOPEDIA Y/O TRAUMATOLOGIA,CONSULTA EXTERNA
340,OTORRINOLARINGOLOGIA,CONSULTA EXTERNA
342,PEDIATRIA,CONSULTA EXTERNA
343,PERIODONCIA,CONSULTA EXTERNA
344,PSICOLOGIA,CONSULTA EXTERNA
345,PSIQUIATRIA,CONSULTA EXTERNA
346,REHABILITACION ONCOLOGICA,CONSULTA EXTERNA
347,REHABILITACION ORAL,CONSULTA EXTERNA
348,REUMATOLOGIA,CONSULTA EXTERNA
354,TOXICOLOGIA,CONSULTA EXTERNA
355,UROLOGIA,CONSULTA EXTERNA
356,OTRAS CONSULTAS DE ESPECIALIDAD,CONSULTA EXTERNA
361,CARDIOLOGIA PEDIATRICA,CONSULTA EXTERNA
